"","autoctr","sciname","StockCode","EcologyRefNo","HabitatsRef","Neritic","SupraLittoralZone","Saltmarshes","LittoralZone","TidePools","Intertidal","SubLittoral","Caves","Oceanic","Epipelagic","Mesopelagic","Bathypelagic","Abyssopelagic","Hadopelagic","Estuaries","Mangroves","MarshesSwamps","CaveAnchialine","Stream","Lakes","Cave","Cave2","Herbivory2","HerbivoryRef","FeedingType","FeedingTypeRef","DietTroph","DietSeTroph","DietTLu","DietseTLu","DietRemark","DietRef","FoodTroph","FoodSeTroph","FoodRemark","FoodRef","AddRems","AssociationRef","Parasitism","Solitary","Symbiosis","Symphorism","Commensalism","Mutualism","Epiphytic","Schooling","SchoolingFrequency","SchoolingLifestage","Shoaling","ShoalingFrequency","ShoalingLifestage","SchoolShoalRef","AssociationsWith","AssociationsRemarks","OutsideHost","OHRemarks","InsideHost","IHRemarks","SubstrateRef","Benthic","Sessile","Mobile","Demersal","Endofauna","Pelagic","Megabenthos","Macrobenthos","Meiobenthos","SoftBottom","Sand","Coarse","Fine","Level","Sloping","Silt","Mud","Ooze","Detritus","Organic","HardBottom","Rocky","Rubble","Gravel","SpecialHabitatRef","Macrophyte","BedsBivalve","BedsRock","SeaGrassBeds","BedsOthers","CoralReefs","ReefExclusive","DropOffs","ReefFlats","Lagoons","Burrows","Tunnels","Crevices","Vents","Seamounts","DeepWaterCorals","Vegetation","Leaves","Stems","Roots","Driftwood","OInverterbrates","OIRemarks","Verterbrates","VRemarks","Pilings","BoatHulls","Corals","SoftCorals","OnPolyp","BetweenPolyps","HardCorals","OnExoskeleton","InterstitialSpaces","Entered","Dateentered","Modified","Datemodified","Expert","Datechecked","TS","SpecCode"
"1",10190,"Ablabys binotatus",8360,41878,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Inhabits shallow subtidal areas among weeds.  Rocks back and forth (Ref. 9710).",NA,0,0,0,0,0,0,0,0,NA,NA,0,NA,NA,NA,NA,NA,0,NA,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41878,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,0,0,0,0,0,0,0,0,0,1472,"2007-10-16T00:00:00.000Z",309,"2008-03-17T00:00:00.000Z",NA,NA,NA,8049
"2",9767,"Acantholumpenus mackayi",3967,58426,58426,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,"mainly animals (troph. 2.8 and up)",58426,"hunting macrofauna (predator)",58426,3.13,0.17,NA,NA,"Troph of juv./adults from 1 study.",75088,3.28,0.36,"Trophic level estimated from a number of food items using a randomized resampling routine.",12671,"Found over mud and sand bottoms to depths of about 56 meters; often in brackish waters (Ref. 51666).  Benthic; feeds on worms, crustaceans, sea urchins and molluscs (Ref. 58426).",NA,0,0,0,0,0,0,0,0,NA,NA,0,NA,NA,NA,NA,NA,0,NA,0,NA,NA,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,0,0,0,0,0,0,0,0,0,309,"2007-07-11T00:00:00.000Z",10,"2013-11-14T00:00:00.000Z",NA,NA,NA,3771
"3",107,"Agonus cataphractus",46,4700,4700,-1,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,"mainly animals (troph. 2.8 and up)",4700,"hunting macrofauna (predator)",4700,3.43,0.26,3.37,0.4,"Troph of juv./adults from 1 study.",28130,3.26,0.38,"Trophic level estimated from a number of food items using a randomized resampling routine.",NA,"Feeds on small bottom crustaceans and polychaetes (Ref. 4700).",NA,0,0,0,0,0,0,0,0,NA,NA,0,NA,NA,NA,NA,NA,0,NA,0,NA,NA,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,0,0,0,0,0,0,0,0,0,2,"1990-12-20T00:00:00.000Z",34,"2000-12-03T00:00:00.000Z",NA,NA,NA,36
"4",2255,"Alectrias alectrolophus",3968,42144,42144,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,"mainly animals (troph. 2.8 and up)",42144,NA,NA,NA,NA,NA,NA,NA,NA,3.13,0.44,"Trophic level estimated from a number of food items using a randomized resampling routine.",NA,NA,NA,0,0,0,0,0,0,0,0,NA,NA,0,NA,NA,NA,NA,NA,0,NA,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,0,0,0,0,0,0,0,0,0,34,"2002-12-11T00:00:00.000Z",NA,"2002-12-11T00:00:00.000Z",NA,NA,NA,3772
"5",10734,"Ambiserrula jugosa",43525,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Occurs in inshore waters of the continental shelf (Ref. 75154).",NA,0,0,0,0,0,0,0,0,NA,NA,0,NA,NA,NA,NA,NA,0,NA,0,NA,NA,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,0,0,0,0,0,0,0,0,0,1472,"2008-11-12T00:00:00.000Z",NA,"2008-11-12T00:00:00.000Z",NA,NA,NA,52300
"6",2276,"Anarhichas denticulatus",4006,4694,4694,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,"mainly animals (troph. 2.8 and up)",4694,"variable",4694,NA,NA,NA,NA,NA,NA,4.04,0.67,"Trophic level estimated from a number of food items using a randomized resampling routine.",NA,"Inhabits offshore waters in midwater; adults also near bottom from 60-970 m, mainly 100-900 m (Ref. 4694).  Epibenthic (Ref. 58426).  Feeds on sea gooseberries, medusas, small fishes, also echinoderms, crustaceans and mollusks (not so hard-shelled) (Ref. 4694).  Preyed upon by <i>Sebastes marinus</i>, Greenland shark (<i>Somniosus microcephalus</i>) and cod.  Parasite of the species is known to be a copepod, <i>Sphyrion lumpi</i> (Ref. 5951).",NA,0,0,0,0,0,0,0,0,NA,NA,-1,"sometimes","only juveniles",43800,NA,"More than 100 young northern wolffishes were caught on August 11, 1980 at depths of 0-50 m, water temperature 12.4°, SE of the Great Newfoundland shoal; no other single young individual was found over a distance of 60-80 miles from this station.  Morphometric changes in body shape from juvenile to adult point to its ecology: the young are pelagic (occupying the epipelagic zone of the open parts of the N. Atlantic and the neritic zone of shelves) and the adults have a benthic mode of life (Ref. 43800).",0,NA,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,0,0,0,0,0,0,0,0,0,574,"2000-11-04T00:00:00.000Z",2374,"2014-02-12T00:00:00.000Z",574,"2000-11-26T00:00:00.000Z",NA,3810
"7",1681,"Anarhichas lupus",2695,4694,4694,-1,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,"mainly animals (troph. 2.8 and up)",4694,"hunting macrofauna (predator)",4694,3.55,NA,3.21,0.38,"Troph of adults from 1 study.",37512,3.73,0.53,"Trophic level estimated from a number of food items using a randomized resampling routine.",NA,"Inhabit rocky bottoms, sometimes over sand or mud, from 1-500 m (Ref. 9988).  Benthic (Ref. 58426).  Feeds on fishes (Ref. 58426), hard-shelled mollusks, crabs, lobsters, sea urchins and other echinoderms.  Solitary in habit (Ref. 9988).  It is preyed upon by cod.  Parasites of the species include 1 protozoan, 11 trematodes, 1 myxosporidian, 1 cestode, 3 nematodes, 1 hirudinean, 1 crustacean and 1 copepod (Ref. 5951).",9988,0,-1,0,0,0,0,0,-1,"sometimes","only adults",0,NA,NA,86779,NA,"Solitary in habit (Ref. 9988). Usually solitary except during the mating season, when bonded pairs occur. However, some apparent ""colonial settlements"" have been reported, the occurrence of which may be related to shelter availability. Reports of apparent seasonal spawning migrations may result from inshore-offshore seasonal migrations related to foraging and tooth replacement episodes.  Larvae likely remain near the bottom and do not disperse widely from the hatching locality (Ref. 86779).",0,NA,0,NA,NA,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,-1,-1,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,0,0,0,0,0,0,0,0,0,2,"1991-03-07T00:00:00.000Z",2374,"2014-02-05T00:00:00.000Z",NA,NA,NA,2501
"8",2277,"Anarhichas minor",4007,12224,12224,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,"mainly animals (troph. 2.8 and up)",12224,"hunting macrofauna (predator)",12224,NA,NA,3.45,0.43,NA,46083,3.62,0.51,"Trophic level estimated from a number of food items using a randomized resampling routine.",NA,"Inhabits offshore waters over soft bottoms, often with boulders, from 25-590 m, but most common from 100-400 m (Ref. 4694).  Benthic (Ref. 58426).  Feeds mainly on echinoderms, but also crustaceans, mollusks, fishes (Ref. 4694) and worms (Ref. 58426).  In Barents sea, it reached at least 80 cm, age 9 years.  Preyed upon by cod, pollock, and Greenland shark (<i>Somniosus microcephalus</i>).  Parasites of the species include 1 myxosporidian, 1 cestode, 7 trematodes, 1 hirudinean, 1 crustacean and 1 protozoan, <i>Trypanosoma murmanensis</i> (Ref. 5951).",NA,0,0,0,0,0,0,0,0,NA,NA,-1,"sometimes","only adults",94882,NA,"Shoaling assumed (with absence of information indicating structured grouping behavior)  from large catches near spawning period.  Large trawl catches of this species were reported in 1972; such records of large schools are unusual, making these large catches particularly noteworthy as the time of capture was close to the probable spawning season and may have been related to schooling for spawning (Ref. 94882).",0,NA,0,NA,NA,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,0,0,0,0,0,0,0,0,0,34,"1996-11-28T00:00:00.000Z",2374,"2014-02-05T00:00:00.000Z",NA,NA,NA,3811
"9",2278,"Anarhichas orientalis",4008,559,559,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,"mainly animals (troph. 2.8 and up)",28499,"hunting macrofauna (predator)",NA,3.8,0.39,NA,NA,"Troph of juv./adults from 1 study.",56571,3.35,0.48,"Trophic level estimated from a number of food items using a randomized resampling routine.",NA,"Found on rocky bottoms (Ref. 559).  Feeds on hard-shelled invertebrates (Ref. 28499).",NA,0,0,0,0,0,0,0,0,NA,NA,0,NA,NA,NA,NA,NA,0,NA,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,0,0,0,0,0,0,0,0,0,34,"1999-09-20T00:00:00.000Z",309,"2007-05-09T00:00:00.000Z",NA,NA,NA,3812
"10",2279,"Anarrhichthys ocellatus",4009,2850,2850,-1,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,"mainly animals (troph. 2.8 and up)",28499,"variable",NA,NA,NA,NA,NA,NA,NA,3.51,0.53,"Trophic level estimated from a number of food items using a randomized resampling routine.",NA,"Feeds on fish and invertebrates (Ref. 28499).",NA,0,0,0,0,0,0,0,0,NA,NA,0,NA,NA,NA,NA,NA,0,NA,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,0,0,0,0,0,0,0,0,0,34,"1999-09-20T00:00:00.000Z",NA,"1999-12-11T00:00:00.000Z",NA,NA,NA,3813
