"","autoctr","StockCode","sciname","ReproducRefNo","ReproMode","Fertilization","MatingSystem","MonogamyType","MatingRefNo","MatingQuality","Spawning","BatchSpawner","SpawnModRef","RepGuild1","RepGuild2","ParentalCare","ParentalCareQ","ParentalCareRef","RepAquarium","RepAquaRef","Entered","DateEntered","Modified","DateModified","Expert","DateChecked","AddInfos","TS","SpecCode"
"1",27,46,"Agonus cataphractus",4700,"dioecism","external",NA,NA,NA,NA,"one clear seasonal peak per year",0,NA,"nonguarders","open water/substratum egg scatterers","none","3",NA,NA,NA,2,"1990-12-20T00:00:00.000Z",2,"2017-07-18T00:00:00.000Z",10,"1995-09-19T00:00:00.000Z",NA,NA,36
"2",2044,3968,"Alectrias alectrolophus",58332,"dioecism","external",NA,NA,NA,NA,NA,0,NA,"guarders",NA,"maternal","1",58332,NA,NA,2,"2007-05-23T00:00:00.000Z",NA,"2007-05-23T00:00:00.000Z",NA,NA,NA,NA,3772
"3",8674,43525,"Ambiserrula jugosa",205,"dioecism","external",NA,NA,NA,NA,NA,0,NA,"nonguarders",NA,"none","1",205,NA,NA,2,"2011-07-06T00:00:00.000Z",NA,"2011-07-06T00:00:00.000Z",NA,NA,NA,NA,52300
"4",1374,2695,"Anarhichas lupus",6407,"dioecism","internal (oviduct)",NA,NA,NA,NA,"one clear seasonal peak per year",0,NA,"guarders","clutch tenders","paternal","1",6407,NA,NA,10,"1994-01-28T00:00:00.000Z",2,"2007-05-23T00:00:00.000Z",1,"2000-08-08T00:00:00.000Z","Males guard a clutch of eggs right up to the time of hatching (Ref. 6407). During brood protection, the male hardly feeds (Ref. 6407).",NA,2501
"5",2053,4007,"Anarhichas minor",4645,"dioecism","internal (oviduct)",NA,NA,NA,NA,NA,0,NA,"guarders","nesters",NA,NA,NA,NA,NA,1,"1999-02-12T00:00:00.000Z",1,"2013-02-24T00:00:00.000Z",NA,NA,"Spawning happens between the months of September and January at 250 m depth. Females lay great egg bunches in nests built on the ground. The size of the eggs increases with the size of the female. Egg size 5-6 mm, larval length at hatching 21-24 mm.
",NA,3811
"6",2054,4008,"Anarhichas orientalis",559,"dioecism","external",NA,NA,NA,NA,NA,0,NA,"guarders","clutch tenders",NA,NA,NA,NA,NA,10,"1994-09-06T00:00:00.000Z",NA,"1996-03-16T00:00:00.000Z",10,"1996-03-16T00:00:00.000Z","Eggs are very large.      ",NA,3812
"7",2055,4009,"Anarrhichthys ocellatus",28499,"dioecism","external","monogamy",NA,28499,"1",NA,0,NA,"guarders","clutch tenders","biparental","1",58332,NA,NA,10,"1994-07-27T00:00:00.000Z",2,"2007-05-23T00:00:00.000Z",10,"1996-03-16T00:00:00.000Z","When courting, the male wolf-eel butts his head against the female's abdomen, wraps around her, and fertilizes her eggs as she extrudes them. Eggs are laid and both male and female wrap themselves around the egg mass to protect it . Only one parent at a time leaves the eggs to feed. The female periodically rotates the eggs until they hatch. A male and female may pair for life (Ref. 28499).",NA,3813
"8",2045,3972,"Anoplarchus purpurescens",6885,"dioecism","external","polygyny",NA,NA,"2",NA,0,NA,"guarders","clutch tenders","maternal","1",6885,NA,NA,113,"1996-08-26T00:00:00.000Z",2,"2007-11-20T00:00:00.000Z",NA,NA,"Spawning individuals are territorial. The female guards the egg mass deposited between rocks and shells by bending her body over the eggs. She fans the eggs by moving the posterior part of her body (Ref. 6885). In the aquarium, males mate with several females (Ref. 39998).",NA,3776
"9",10138,528,"Anoplopoma fimbria",205,"dioecism","external",NA,NA,NA,NA,NA,0,NA,"nonguarders","open water/substratum egg scatterers","none","3",NA,NA,NA,2,"2013-03-08T00:00:00.000Z",2,"2017-07-18T00:00:00.000Z",NA,NA,NA,NA,512
"10",1746,3465,"Apeltes quadracus",205,"dioecism","external",NA,NA,NA,NA,NA,0,NA,"guarders","nesters","paternal","1",205,NA,NA,2,"2011-07-08T00:00:00.000Z",NA,"2011-07-08T00:00:00.000Z",NA,NA,"The male builds, guards and aerates the nest (Ref. 205).",NA,3269
