"","sciname","Genus","Species","SpeciesRefNo","Author","FBname","PicPreferredName","PicPreferredNameM","PicPreferredNameF","PicPreferredNameJ","FamCode","Subfamily","GenCode","SubGenCode","BodyShapeI","Source","AuthorRef","Remark","TaxIssue","Fresh","Brack","Saltwater","DemersPelag","AnaCat","MigratRef","DepthRangeShallow","DepthRangeDeep","DepthRangeRef","DepthRangeComShallow","DepthRangeComDeep","DepthComRef","LongevityWild","LongevityWildRef","LongevityCaptive","LongevityCapRef","Vulnerability","Length","LTypeMaxM","LengthFemale","LTypeMaxF","MaxLengthRef","CommonLength","LTypeComM","CommonLengthF","LTypeComF","CommonLengthRef","Weight","WeightFemale","MaxWeightRef","Pic","PictureFemale","LarvaPic","EggPic","ImportanceRef","Importance","PriceCateg","PriceReliability","Remarks7","LandingStatistics","Landings","MainCatchingMethod","II","MSeines","MGillnets","MCastnets","MTraps","MSpears","MTrawls","MDredges","MLiftnets","MHooksLines","MOther","UsedforAquaculture","LifeCycle","AquacultureRef","UsedasBait","BaitRef","Aquarium","AquariumFishII","AquariumRef","GameFish","GameRef","Dangerous","DangerousRef","Electrogenic","ElectroRef","Complete","GoogleImage","Comments","Profile","PD50","Emblematic","Entered","DateEntered","Modified","DateModified","Expert","DateChecked","TS","SpecCode"
"1","Ablabys binotatus","Ablabys","binotatus",5499,"(Peters, 1855)","Redskinfish","Abbin_u1.jpg",NA,NA,NA,577,NA,6090,NA,"fusiform / normal","R",NA,NA,0,0,0,-1,"reef-associated",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35.45,15,"TL",NA,NA,5499,NA,NA,NA,NA,NA,NA,NA,NA,"ABBIN_U0",NA,NA,NA,NA,NA,"unknown",NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,"never/rarely",NA,NA,"never/rarely",NA,"never/rarely",NA,NA,0,NA,"harmless",NA,"no special ability",NA,NA,-1,"Inhabits shallow subtidal areas among weeds.  Rocks back and forth (Ref. 9710).",NA,0.625,0,34,"1993-05-17T00:00:00.000Z",65,"2013-07-18T00:00:00.000Z",NA,NA,NA,8049
"2","Acantholiparis opercularis","Acantholiparis","opercularis",11980,"Gilbert & Burke, 1912","Spiny snailfish","Acope_u0.gif",NA,NA,NA,615,NA,2923,NA,"elongated","o",NA,NA,0,0,0,-1,"bathydemersal",NA,NA,227,3610,58496,NA,NA,NA,NA,NA,NA,NA,12.01,6.9,"SL",7,"SL",26773,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"unknown",NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,"never/rarely",NA,NA,"never/rarely",NA,"never/rarely",NA,NA,0,NA,"harmless",NA,"no special ability",NA,NA,-1,"Minimum depth reported at 227 m (Ref. 51661).",NA,0.75,0,113,"1996-09-16T00:00:00.000Z",65,"2013-07-15T00:00:00.000Z",NA,NA,NA,25262
"3","Acantholumpenus mackayi","Acantholumpenus","mackayi",3814,"(Gilbert, 1896)","Pighead prickleback","Acmac_u1.gif",NA,NA,NA,393,"Lumpeninae",4937,NA,"elongated","O",NA,NA,0,0,-1,-1,"demersal",NA,NA,0,200,56557,NA,NA,NA,12,56557,NA,NA,70.26,70,"SL",NA,NA,559,NA,NA,NA,NA,NA,NA,NA,NA,"ACMAC_U1",NA,NA,NA,NA,NA,"unknown",NA,NA," ",NA," "," ",0,0,0,0,0,0,0,0,0,0,"never/rarely"," ",NA,"never/rarely",NA,"never/rarely"," ",NA,0,NA,"harmless",NA,"no special ability",NA,NA,-1,"Found over mud and sand bottoms to depths of about 56 meters; often in brackish waters (Ref. 51666).  Benthic; feeds on worms, crustaceans, sea urchins and molluscs (Ref. 58426).",NA,1,0,1,"1991-05-01T00:00:00.000Z",1472,"2007-07-06T00:00:00.000Z",10,"1994-09-06T00:00:00.000Z",NA,3771
"4","Agonopsis sterletus","Agonopsis","sterletus",37955,"(Gilbert, 1898)","Southern spearnose poacher","Agste_u0.jpg",NA,NA,NA,283,"Agoninae",1437,NA,"elongated","O",NA,NA,0,0,0,-1,"demersal",NA,NA,42,91,2850,NA,NA,NA,NA,NA,NA,NA,27.08,15,"TL",NA,NA,2850,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37955,"of no interest","unknown",NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,"never/rarely",NA,NA,"never/rarely",NA,"never/rarely",NA,NA,0,NA,"harmless",NA,"no special ability",NA,NA,-1,"Found over soft bottoms (Ref. 2850).",NA,0.5625,0,1,"1991-05-01T00:00:00.000Z",14,"2005-03-15T00:00:00.000Z",10,"1994-07-14T00:00:00.000Z",NA,4151
"5","Agonopsis vulsa","Agonopsis","vulsa",2850,"(Jordan & Gilbert, 1880)","Northern spearnose poacher","Agvul_u0.gif",NA,NA,NA,283,"Agoninae",1437,NA,"elongated","O",NA,NA,0,0,0,-1,"demersal",NA,NA,0,163,2850,NA,NA,NA,NA,NA,NA,NA,31.13,20,"TL",NA,NA,2850,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"unknown",NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,"never/rarely",NA,NA,"never/rarely",NA,"public aquariums","based mainly on capture",9183,0,NA,"harmless",NA,"no special ability",NA,NA,-1,NA,NA,0.5625,0,1,"1991-05-01T00:00:00.000Z",14,"2005-03-15T00:00:00.000Z",113,"1996-09-23T00:00:00.000Z",NA,4152
"6","Agonus cataphractus","Agonus","cataphractus",40,"(Linnaeus, 1758)","Hooknose","Agcat_u5.jpg",NA,NA,NA,283,"Agoninae",1749,NA,"fusiform / normal","O",NA,NA,0,0,0,-1,"demersal",NA,NA,0,270,58496,NA,NA,NA,3,722,1.67,273,26.21,21,"TL",NA,NA,4700,14,"TL",NA,NA,4700,NA,NA,NA,"AGCAT_U0",NA,"AGCAT_L0",NA,NA,"of no interest","unknown",NA,NA,NA,NA,"seines"," ",0,0,0,0,0,0,0,0,0,0,"never/rarely"," ",NA,"never/rarely",NA,"public aquariums"," ",273,0,NA,"harmless",NA,"no special ability",NA,NA,-1,"Inhabits inshore waters, deeper waters in winter in Skaggerak, preferring sandy bottoms, rarely with stones.  Maximum depth reported at 270 m (Ref. 28197).  Temp.  range:  4.0-8.0 °C.  Feeds on bottom crustaceans and polychaetes.  Matures after about 1 year; a few spawning in the second year (Ref. 722).  The eggs are laid in seaweed (Ref. 9900).  Spawns in February - April, female laying 2,500-3,000 yellow eggs with a diameter of 2 mm.  Period of development is very long and 6-8 mm long pelagic larvae hatch after 10-11 months (Ref. 35388).",NA,1,0,1,"1990-10-17T00:00:00.000Z",949,"2007-08-08T00:00:00.000Z",1,"2002-07-23T20:23:24.000Z",NA,36
"7","Alectrias alectrolophus","Alectrias","alectrolophus",43939,"(Pallas, 1814)","Stone cockscomb",NA,NA,NA,NA,393,"Xiphisterinae",6332,NA,NA,"O",NA,NA,0,0,0,-1,"demersal",NA,NA,0,100,50550,NA,50,51666,NA,NA,NA,NA,31.13,10,"SL",NA,NA,43239,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"unknown",NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,"never/rarely",NA,NA,"never/rarely",NA,"never/rarely",NA,NA,0,NA,"harmless",NA,"no special ability",NA,NA,-1,"Mainly intertidal, but may be found at depths as much as 100 m (Ref. 43939); typically found shallower than 50 meters (Ref. 51666).  Often in bays with pebble-rock debris bottoms (Ref. 43939).  Oviparous, eggs are guarded by the female parent (Ref. 58332).",NA,0.5156,0,1,"1991-05-01T00:00:00.000Z",2,"2007-05-23T00:00:00.000Z",NA,NA,NA,3772
"8","Alectrias gallinus","Alectrias","gallinus",46206,"(Lindberg, 1938)","Shaggy cockscomb",NA,NA,NA,NA,393,"Xiphisterinae",6332,NA,NA,"o",NA,NA,0,0,0,-1,"demersal",NA,NA,0,100,50610,NA,NA,NA,NA,NA,NA,NA,30.09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"unknown",NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,"never/rarely",NA,NA,"never/rarely",NA,"never/rarely",NA,NA,0,NA,"harmless",NA,"no special ability",NA,NA,-1,"Inhabits silty sand, gravel, and pebble bottoms (Ref. 51666).",NA,0.5156,0,113,"2003-09-18T00:00:00.000Z",949,"2014-07-03T00:00:00.000Z",NA,NA,NA,61164
"9","Alertichthys blacki","Alertichthys","blacki",5755,"Moreland, 1960","Alert pigfish",NA,NA,NA,NA,275,NA,7877,NA,NA,"o",NA,NA,0,0,0,-1,"bathydemersal",NA,NA,458,549,58018,NA,NA,NA,NA,NA,NA,NA,36.24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"unknown",NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,"never/rarely",NA,NA,"never/rarely",NA,"never/rarely",NA,NA,0,NA,"harmless",NA,"no special ability",NA,NA,-1,"Holotype collected in 458-549 m (Ref. 12965).",NA,1.0039,0,113,"1998-03-06T00:00:00.000Z",113,"2008-07-14T00:00:00.000Z",NA,NA,NA,46981
"10","Ambiserrula jugosa","Ambiserrula","jugosa",29003,"(McCulloch, 1914)","Mud flathead",NA,NA,NA,NA,273,NA,9178,NA,NA,"R",NA,NA,0,0,-1,-1,"demersal",NA,NA,15,53,29003,NA,NA,NA,NA,NA,NA,NA,38.43,12.1,"SL",NA,NA,29003,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"high","Very questionable: based on ex-vessel price for species in this family",NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,"never/rarely",NA,NA,"never/rarely",NA,"never/rarely",NA,NA,0,NA,"harmless",NA,"no special ability",NA,NA,-1,"Found on the continental shelf, inshore region.",NA,1,0,2,"1999-04-22T00:00:00.000Z",1472,"2008-11-12T00:00:00.000Z",NA,NA,NA,52300
